idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,cloud_preferida,cargo,sql,nosql
49.0,2,4,1,1,8,3,9,4,1,2,6,3,0
30.0,1,4,1,1,7,3,1,7,5,2,2,3,1
27.0,2,4,1,1,24,1,1,7,1,1,4,0,1
36.0,2,2,1,1,24,3,1,7,5,3,2,0,2
28.0,1,4,1,1,9,3,2,7,1,1,11,2,0
26.0,2,1,1,1,9,1,9,3,5,4,1,1,2
24.0,2,4,1,1,24,3,9,7,5,2,3,2,0
36.0,2,4,1,1,23,1,9,3,5,4,2,5,3
32.0,2,4,1,1,24,1,1,2,5,4,1,2,2
44.0,2,4,1,1,5,1,3,4,1,4,1,1,1
43.0,2,4,1,1,18,1,9,1,3,4,2,3,2
31.0,2,4,1,1,23,1,1,3,5,1,-1,0,1
27.0,2,3,1,1,24,5,-1,7,5,1,11,2,1
39.0,2,4,1,1,24,1,1,2,5,2,11,1,1
39.0,1,4,1,1,24,1,9,3,5,1,2,3,1
21.0,1,4,1,1,24,3,9,7,4,4,4,1,0
